concept:country:republic	country republic
concept:geopoliticallocation:list	geopolitical location list
concept:city:samoa	city samoa
concept:plant:cypress	plant cypress
concept:city:irving	city irving
concept:bacteria:symptoms	bacteria symptoms
concept:stadiumoreventvenue:dix_stadium	stadium or event venue dix stadium
concept:island:aviation	island aviation
concept:nerve:somatic_nervous_system	nerve somatic nervous system
concept:company:first_choice_airways	company first choice airways
concept:city:los_angeles_memorial_coliseum	city los angeles memorial coliseum
concept:writer:george_mason	writer george mason
concept:bodypart:hands	body part hands
concept:artery:esophagus	artery esophagus
concept:transportation:n4_4_0	transportation n 4 4 0
concept:city:west_palm_beach	city west palm beach
concept:stadiumoreventvenue:cruzan_amphitheatre	stadium or event venue cruz an amphitheatre
concept:planet:problem	planet problem
concept:braintissue:three_membranes	brain tissue three membranes
concept:emotion:rootedness	emotion rooted ness
concept:plant:willow_trees	plant willow trees
concept:bodypart:uterus	body part uterus
concept:farm:farms	farm farms
concept:hobby:playground	hobby playground
concept:coach:jim_harbaugh	coach jim harbaugh
concept:emotion:fertility	emotion fertility
concept:retailstore:clothing_store	retail store clothing store
concept:monarch:india	monarch india
concept:stadiumoreventvenue:infocision_stadium	stadium or event venue in foci sion stadium
concept:mountainrange:rate	mountain range rate
concept:stadiumoreventvenue:war_memorial_stadium	stadium or event venue war memorial stadium
concept:personeurope:james_wright	person europe james wright
concept:bodypart:bladder	body part bladder
concept:plant:banyan	plant banyan
concept:plant:yew	plant yew
concept:perceptionaction:davenport	perception action davenport
concept:attraction:victoria001	attraction victoria 001
concept:nerve:musculoskeletal_system	nerve mus cul o skeletal system
concept:planet:order	planet order
concept:city:ukiah	city ukiah
concept:braintissue:salivary_glands	brain tissue salivary glands
concept:celebrity:don_james	celebrity don james
concept:politicalparty:confederate_states	political party confederate states
concept:country:bonaire	country bonaire
concept:coach:ben_schwartzwalder	coach ben schwartz w alder
concept:plant:pear_cactus	plant pear cactus
concept:plant:statue	plant statue
concept:visualizablescene:hollywood	visual iz able scene hollywood
concept:retailstore:homeland	retail store homeland
concept:personaustralia:jim_calhoun	person australia jim calhoun
concept:skiarea:premier	ski area premier
concept:plant:ginkgo	plant ginkgo
concept:artery:antigens	artery antigens
concept:stateorprovince:international	state or province international
concept:geopoliticallocation:mainland	geopolitical location mainland
concept:bodypart:endothelium	body part endothelium
concept:planet:fiction	planet fiction
concept:stadiumoreventvenue:arizona_stadium	stadium or event venue arizona stadium
concept:university:pennsylvania_state	university pennsylvania state
concept:braintissue:motor_system	brain tissue motor system
concept:city:south_bend	city south bend
concept:plant:holm_oak	plant holm oak
concept:stateorprovince:qld	state or province qld
concept:city:cayucos	city cay u cos
concept:stateorprovince:wielkopolskie	state or province wielkopolski e
concept:bodypart:microcirculation	body part micro circulation
concept:sportsequipment:rim	sports equipment rim
concept:plant:sequoia	plant sequoia
concept:room:exposure	room exposure
concept:landscapefeatures:neighbors	landscape features neighbors
concept:geopoliticallocation:asia_pacific	geopolitical location asia pacific
concept:plant:wisteria	plant wisteria
concept:university:emory	university emory
concept:stateorprovince:state_capital	state or province state capital
concept:artery:reproductive	artery reproductive
concept:stateorprovince:southern_oregon	state or province southern oregon
concept:city:oakhurst	city oak hurst
concept:stadiumoreventvenue:scheumann_stadium	stadium or event venue sche u mann stadium
concept:bodypart:tonsils	body part tonsils
concept:shoppingmall:activities	shopping mall activities
concept:sportsequipment:stand	sports equipment stand
concept:website:gateway	website gateway
concept:bodypart:replication	body part replication
concept:country:pacific_islands	country pacific islands
concept:university:bowling_green_state	university bowling green state
concept:hospital:_	hospital
concept:coach:grobe	coach gro be
concept:stadiumoreventvenue:fiu_stadium	stadium or event venue fiu stadium
concept:coach:larry_coker	coach larry coker
concept:placeofworship:boy	place of worship boy
concept:stateorprovince:new_england_state	state or province new england state
concept:sportsgame:more_months	sports game more months
concept:braintissue:hypothalamus	brain tissue hypothalamus
concept:plant:buckeye	plant buckeye
concept:bodypart:digestive_organs	body part digestive organs
concept:plant:evergreen_trees	plant evergreen trees
concept:stadiumoreventvenue:izod_center	stadium or event venue izod center
concept:plant:black_spruce	plant black spruce
concept:year:n1776	year n 1776
concept:airport:memorial_field	airport memorial field
concept:plant:azaleas	plant azaleas
concept:bodypart:dura	body part dura
concept:braintissue:lower_brain	brain tissue lower brain
concept:city:skokie	city skokie
concept:bone:spleen	bone spleen
concept:city:norcross	city nor cross
concept:coach:boeheim	coach boe heim
concept:crimeorcharge:treason	crime or charge treason
concept:geopoliticallocation:northern_europe	geopolitical location northern europe
concept:coach:tuberville	coach tuber ville
concept:coach:mike_bellotti	coach mike bellot ti
concept:coach:ted_roof	coach ted roof
concept:personmexico:mike_anderson	person mexico mike anderson
concept:nerve:nerve_fibers	nerve nerve fibers
concept:port:port_angeles	port port angeles
concept:placeofworship:boys	place of worship boys
concept:city:advice	city advice
concept:city:marina	city marina
concept:city:carolina	city carolina
concept:plant:hornbeam	plant horn beam
concept:city:castro	city castro
concept:nerve:limbic_system	nerve limb ic system
concept:coach:mark_gottfried	coach mark gottfried
concept:plant:pin_oak	plant pin oak
concept:museum:close	museum close
concept:plant:gingko	plant gingko
concept:braintissue:root_ganglia	brain tissue root ganglia
concept:personmexico:trent_johnson	person mexico trent johnson
concept:plant:coconut_trees	plant coconut trees
concept:professor:terry_holland	professor terry holland
concept:stadiumoreventvenue:brown_stadium	stadium or event venue brown stadium
concept:trainstation:commerce	train station commerce
concept:year:n1861	year n 1861
concept:braintissue:cerebellum	brain tissue cerebellum
concept:sportsteam:year_the_red_sox	sports team year the red sox
concept:landscapefeatures:scenery	landscape features scenery
concept:island:pakistan	island pakistan
concept:attraction:sounds	attraction sounds
concept:stateorprovince:va	state or province va
concept:braintissue:smell	brain tissue smell
concept:landscapefeatures:favorite_place	landscape features favorite place
concept:city:kokomo	city koko mo
concept:personmexico:doc_sadler	person mexico doc sadler
concept:website:plus	website plus
concept:room:chain	room chain
concept:stadiumoreventvenue:rice_eccles_stadium	stadium or event venue rice eccles stadium
concept:muscle:muscle_tissue	muscle muscle tissue
concept:braintissue:skeletal_muscle	brain tissue skeletal muscle
concept:city:orland_park	city or land park
concept:country:congo_brazzaville	country congo brazzaville
concept:plant:wreaths	plant wreaths
concept:company:edge	company edge
concept:stateorprovince:contrast	state or province contrast
concept:stadiumoreventvenue:scott_stadium	stadium or event venue scott stadium
concept:hobby:work	hobby work
concept:plant:wild_fig	plant wild fig
concept:sport:possession	sport possession
concept:stateorprovince:opolskie	state or province o polski e
concept:stadiumoreventvenue:boone_pickens_stadium	stadium or event venue boone pickens stadium
concept:zoo:issues	zoo issues
concept:attraction:tours	attraction tours
concept:nerve:blood_cell_production	nerve blood cell production
concept:stateorprovince:newfoundland_and_labrador	state or province newfoundland and labrador
concept:stadiumoreventvenue:mackay_stadium	stadium or event venue mackay stadium
concept:geopoliticalorganization:theater	geopolitical organization theater
concept:bodypart:large_blood_vessels	body part large blood vessels
concept:stateorprovince:bauchi	state or province bauchi
concept:visualizablescene:pacific_grove	visual iz able scene pacific grove
concept:geopoliticalorganization:us_	geopolitical organization us
concept:aquarium:pacific_rim	aquarium pacific rim
concept:plant:honey_locust	plant honey locust
concept:artery:mucous_membrane	artery mucous membrane
concept:braintissue:hypothalamic_pituitary_adrenal_axis	brain tissue hypothalami c pituitary adrenal axis
concept:plant:western_red_cedar	plant western red cedar
concept:sportsgame:more_days	sports game more days
concept:city:normal	city normal
concept:island:argentina	island argentina
concept:stadiumoreventvenue:ross_ade_stadium	stadium or event venue ross a de stadium
concept:stadiumoreventvenue:jack_trice_stadium	stadium or event venue jack trice stadium
concept:landscapefeatures:headquarters	landscape features headquarters
concept:university:san_jose_state	university san jose state
concept:website:african_american	website african american
concept:stadiumoreventvenue:post_gazette_pavilion_at_star_lake	stadium or event venue post gazette pavilion at star lake
concept:skiarea:case	ski area case
concept:city:bishop	city bishop
concept:city:hermosa_beach	city hermosa beach
concept:island:quebec	island quebec
concept:blog:globe	blog globe
concept:plant:eastern_hemlock	plant eastern hemlock
concept:coach:dean_smith	coach dean smith
concept:plant:river_birch	plant river birch
concept:visualizablescene:picture	visual iz able scene picture
concept:sportsteam:time_the_phillies	sports team time the phillies
concept:product:vote	product vote
concept:plant:scrub_oak	plant scrub oak
concept:website:pilot	website pilot
concept:transportation:concerns	transportation concerns
concept:coach:mike_montgomery	coach mike montgomery
concept:braintissue:dorsal_root_ganglia	brain tissue dorsal root ganglia
concept:braintissue:neurology	brain tissue neurology
concept:artery:healthy_heart	artery healthy heart
concept:braintissue:amygdala	brain tissue amy gda la
concept:athlete:florida_a_m_rattlers	athlete florida a m rattlers
concept:artery:cholesterol	artery cholesterol
concept:planet:places	planet places
concept:bodypart:mucosa	body part mucosa
concept:river:klickitat	river klickitat
concept:sportsequipment:apparel	sports equipment apparel
concept:monument:d_c	monument d c
concept:stadiumoreventvenue:ben_hill_griffin_stadium	stadium or event venue ben hill griffin stadium
concept:island:guinea	island guinea
concept:plant:olives	plant olives
concept:stateorprovince:northeastern	state or province northeastern
concept:building:libraries	building libraries
concept:plant:acacia	plant acacia
concept:plant:walnut_trees	plant walnut trees
concept:personmexico:eddie_sutton	person mexico eddie sutton
concept:country:emergency	country emergency
concept:highway:square	highway square
concept:city:windsor	city windsor
concept:museum:paper	museum paper
concept:plant:sumac	plant sumac
concept:stateorprovince:lodzkie	state or province lod z ki e
concept:plant:laurel	plant laurel
concept:geopoliticalorganization:sovereign_nation	geopolitical organization sovereign nation
concept:bodypart:testicles	body part testicles
concept:plant:ironwood	plant iron wood
concept:website:websites	website websites
concept:sportsequipment:jerseys	sports equipment jerseys
concept:lake:home_base	lake home base
concept:emotion:devotion	emotion devotion
concept:plant:linden	plant linden
concept:sportsteam:beloved_phillies	sports team beloved phillies
concept:coach:randy_edsall	coach randy eds all
concept:organization:host	organization host
concept:city:willows	city willows
concept:stadiumoreventvenue:sun_devil_stadium	stadium or event venue sun devil stadium
concept:nerve:rhombencephalon	nerve rhombencephalon
concept:artery:pores	artery pores
concept:lymphnode:lymphoma	lymph node lymphoma
concept:coach:frank_haith	coach frank hai th
concept:geopoliticallocation:southern_california	geopolitical location southern california
concept:coach:greg_robinson	coach greg robinson
concept:beach:hospitals	beach hospitals
concept:sportsteam:beloved_red_sox	sports team beloved red sox
concept:stateorprovince:server	state or province server
concept:city:coffs_harbour	city coffs harbour
concept:organization:indian	organization indian
concept:county:borders	county borders
concept:plant:tupelo	plant tupelo
concept:skiarea:benchmark	ski area benchmark
concept:bodypart:reproductive_organs	body part reproductive organs
concept:blog:franklin_field	blog franklin field
concept:stateorprovince:shore	state or province shore
concept:plant:sassafras	plant sassafras
concept:stadiumoreventvenue:memorial_field	stadium or event venue memorial field
concept:country:kabul	country kabul
concept:city:lynwood	city lynwood
concept:country:land	country land
concept:city:republic	city republic
concept:stadiumoreventvenue:bill_snyder_family_stadium	stadium or event venue bill snyder family stadium
concept:visualizablescene:structure	visual iz able scene structure
concept:plant:boxwood	plant boxwood
concept:sportsteam:bronx_bombers	sports team bronx bombers
concept:artery:dorsal_aorta	artery dorsal aorta
concept:beach:massachusetts	beach massachusetts
concept:profession:spokane	profession spokane
concept:artery:smoking	artery smoking
concept:plant:rosebushes	plant rosebushes
concept:farm:growers	farm growers
concept:trainstation:sections	train station sections
concept:aquarium:western_hemisphere	aquarium western hemisphere
concept:artery:human_anatomy	artery human anatomy
concept:stadiumoreventvenue:university_at_buffalo	stadium or event venue university at buffalo
concept:personafrica:mike_davis	person africa mike davis
concept:city:kirkwood	city kirkwood
concept:city:carlsbad	city carlsbad
concept:plant:maple_trees	plant maple trees
concept:stateorprovince:education	state or province education
concept:skiarea:campground	ski area campground
concept:language:kreyol	language kreyol
concept:island:slovenia	island slovenia
concept:nerve:nerve_tissue	nerve nerve tissue
concept:sportsteamposition:point_guard	sports team position point guard
concept:county:heartland	county heartland
concept:mountainrange:label	mountain range label
concept:museum:factory	museum factory
concept:stateorprovince:child	state or province child
concept:plant:coconut_palm	plant coconut palm
concept:plant:white_ash	plant white ash
concept:city:simi_valley	city simi valley
concept:coach:bobby_dodd	coach bobby dodd
concept:plant:balsam_fir	plant balsam fir
concept:stateorprovince:politics	state or province politics
concept:plant:jacaranda	plant jac aranda
concept:attraction:online	attraction online
concept:geopoliticallocation:vatican	geopolitical location vatican
concept:retailstore:giant	retail store giant
concept:braintissue:gallbladder	brain tissue gallbladder
concept:stadiumoreventvenue:kinnick_stadium	stadium or event venue kin nick stadium
concept:coach:mike_shula	coach mike s hula
concept:city:solvang	city sol van g
concept:website:orange	website orange
concept:visualizablescene:visitors	visual iz able scene visitors
concept:stadiumoreventvenue:bryant_denny	stadium or event venue bryant denny
concept:stateorprovince:bielsko	state or province bielsko
concept:city:sunset	city sunset
concept:transportation:series	transportation series
concept:city:norco	city nor co
concept:city:cee	city cee
concept:coach:steve_addazio	coach steve add a zio
concept:nut:butternut	nut butternut
concept:geopoliticallocation:shopping	geopolitical location shopping
concept:stateorprovince:ns	state or province ns
concept:stateorprovince:munich	state or province munich
concept:city:patterson	city patterson
concept:governmentorganization:circuit	government organization circuit
concept:stateorprovince:store	state or province store
concept:artery:neck_artery	artery neck artery
concept:attraction:louisiana	attraction louisiana
concept:color:colours	color colours
concept:hotel:standard	hotel standard
concept:stateorprovince:volunteer	state or province volunteer
concept:nerve:inhalation	nerve inhalation
concept:stadiumoreventvenue:at_t_center	stadium or event venue at t center
concept:artery:blockage	artery blockage
concept:celebrity:seton_hall_pirates	celebrity seton hall pirates
concept:company:expedia	company ex pedia
concept:transportation:control	transportation control
concept:room:stay	room stay
concept:city:tarzana	city tarzan a
concept:geopoliticallocation:union	geopolitical location union
concept:geopoliticallocation:bohemia	geopolitical location bohemia
concept:plant:papaya	plant papaya
concept:county:national_taiwan_university	county national taiwan university
concept:city:norfolk_island	city norfolk island
concept:room:air	room air
concept:county:brawley	county brawl ey
concept:sportsequipment:backboard	sports equipment backboard
concept:braintissue:entire_brain	brain tissue entire brain
concept:jobposition:king	job position king
concept:coach:david_cutcliffe	coach david cut cliffe
concept:sportsteamposition:bryan	sports team position bryan
concept:geopoliticallocation:directories	geopolitical location directories
concept:hospital:pick	hospital pick
concept:hotel:forms	hotel forms
concept:stadiumoreventvenue:floyd_casey_stadium	stadium or event venue floyd casey stadium
concept:city:calexico	city cale xico
concept:bodypart:nervous_tissue	body part nervous tissue
concept:hospital:stanford_stadium	hospital stanford stadium
concept:artery:main_artery	artery main artery
concept:lymphnode:lymph_system	lymph node lymph system
concept:sportsteam:ny_yankees	sports team ny yankees
concept:planet:southern_hemisphere	planet southern hemisphere
concept:country:year_china	country year china
concept:museum:art_gallery	museum art gallery
concept:transportation:gp_7	transportation gp 7
concept:nerve:medulla_oblongata	nerve medulla oblongata
concept:street:center_stage	street center stage
concept:nerve:human_physiology	nerve human physiology
concept:braintissue:adrenal_medulla	brain tissue adrenal medulla
concept:bird:northwestern	bird northwestern
concept:city:hong_kong_island	city hong kong island
concept:celebrity:providence_friars	celebrity providence friars
concept:geopoliticallocation:pacific	geopolitical location pacific
concept:museum:research	museum research
concept:artery:cranium	artery cranium
concept:sportsteam:a_s	sports team a s
concept:politicsblog:shows	politics blog shows
concept:stateorprovince:mb	state or province mb
concept:island:depth	island depth
concept:bodypart:musculature	body part musculature
concept:website:truth	website truth
concept:artery:cell	artery cell
concept:officebuildingroom:courts	office building room courts
concept:bone:backbone	bone backbone
concept:bodypart:human_nervous_system	body part human nervous system
concept:river:nine	river nine
concept:retailstore:guides	retail store guides
concept:city:lake_arrowhead	city lake arrowhead
concept:sportsteamposition:forward	sports team position forward
concept:river:charles_river	river charles river
concept:street:charter_school	street charter school
concept:stateorprovince:yukon	state or province yukon
concept:coach:sidney_lowe	coach sidney lowe
concept:artery:arch	artery arch
